15330469,CPAGlobal,07/26/19   
15527267,CPAGlobal,07/26/19   
15774406,CPAGlobal,07/26/19   
15780301,CPAGlobal,07/26/19   
15999055,CPAGlobal,07/26/19   
16063089,CPAGlobal,07/26/19   
16070754,CPAGlobal,07/26/19   
16072312,CPAGlobal,07/26/19   
16077924,CPAGlobal,07/26/19   
16079811,CPAGlobal,07/26/19   
16093798,CPAGlobal,07/26/19   
16095612,CPAGlobal,07/26/19   
16095929,CPAGlobal,07/26/19   
16176813,CPAGlobal,07/26/19   
16204876,CPAGlobal,07/26/19   
16218452,CPAGlobal,07/26/19   
16239398,CPAGlobal,07/26/19   
16274230,CPAGlobal,07/26/19   
16278899,CPAGlobal,07/26/19   
16286570,CPAGlobal,07/26/19   
16288060,CPAGlobal,07/26/19   
16290921,CPAGlobal,07/26/19   
16291207,CPAGlobal,07/26/19   
16292573,CPAGlobal,07/26/19   
16293591,CPAGlobal,07/26/19   
16303801,CPAGlobal,07/26/19   
16304843,CPAGlobal,07/26/19   
16305272,CPAGlobal,07/26/19   
16309218,CPAGlobal,07/26/19   
16309646,CPAGlobal,07/26/19   
16309819,CPAGlobal,07/26/19   
16309928,CPAGlobal,07/26/19   
16309958,CPAGlobal,07/26/19   
16310019,CPAGlobal,07/26/19   
16310049,CPAGlobal,07/26/19   
16310175,CPAGlobal,07/26/19   
16310318,CPAGlobal,07/26/19   
16310386,CPAGlobal,07/26/19   
16310449,CPAGlobal,07/26/19   
16310455,CPAGlobal,07/26/19   
16310518,CPAGlobal,07/26/19   
16311545,CPAGlobal,07/26/19   
16312259,CPAGlobal,07/26/19   
16312319,CPAGlobal,07/26/19   
16312645,CPAGlobal,07/26/19   
16312647,CPAGlobal,07/26/19   
16312768,CPAGlobal,07/26/19   
16314819,CPAGlobal,07/26/19   
16315544,CPAGlobal,07/26/19   
16315545,CPAGlobal,07/26/19   
16315945,CPAGlobal,07/26/19   
16319379,CPAGlobal,07/26/19   
16319398,CPAGlobal,07/26/19   
16319406,CPAGlobal,07/26/19   
16321650,CPAGlobal,07/26/19   
16330451,CPAGlobal,07/26/19   
16333017,CPAGlobal,07/26/19   
16333223,CPAGlobal,07/26/19   
16334370,CPAGlobal,07/26/19   
16334941,CPAGlobal,07/26/19   
