Internal File, Delivered File, Delivered Date, Contractor,  APPNO 
20190701_16445397,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16445397
20190701_16446360,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446360
20190701_16446537,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446537
20190701_16446602,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446602
20190701_16446675,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446675
20190701_16446756,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446756
20190701_16446774,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446774
20190701_16446782,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446782
20190701_16446867,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446867
20190701_16446913,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446913
20190701_16447042,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447042
20190701_16447054,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447054
20190701_16447065,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447065
20190701_16447076,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447076
20190701_16447144,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447144
20190701_16447157,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447157
20190701_16447171,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447171
20190701_16447262,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447262
20190630_16347879,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16347879
20190630_16348058,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16348058
20190630_16382512,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16382512
20190630_16385750,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16385750
20190630_16388114,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16388114
20190630_16388813,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16388813
20190630_16396189,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16396189
20190630_16398388,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16398388
20190630_16398695,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16398695
20190630_16399667,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16399667
20190630_16399678,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16399678
20190630_16403585,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16403585
20190630_16415617,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16415617
20190630_16417272,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16417272
20190630_16417326,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16417326
20190630_16418044,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16418044
20190630_16423210,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423210
20190630_16423671,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423671
20190630_16428343,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16428343
20190702_16449156,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449156
20190702_16449207,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449207
20190702_16449415,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449415
20190702_16450273,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450273
20190702_16450363,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450363
20190702_16450539,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450539
20190702_16450559,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450559
20190702_16450587,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450587
20190702_16450687,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450687
20190702_16450711,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450711
20190702_16450724,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450724
20190702_16450755,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450755
20190702_16450805,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450805
20190702_16450832,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450832
20190702_16461195,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461195
20190702_16461196,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461196
20190702_16464936,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16464936
20190702_16467092,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16467092
20190702_16468810,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16468810
20190627_16446576,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446576
20190627_16465822,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16465822
20190627_16465972,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16465972
20190704_16418623,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16418623
20190704_16418646,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16418646
20190704_16422159,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16422159
20190704_16425335,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16425335
20190704_16426225,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16426225
20190704_16431934,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16431934
20190704_16434917,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16434917
20190704_16440842,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16440842
20190704_16449793,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449793
20190704_16449824,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449824
20190704_16450894,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450894
20190704_16451320,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451320
20190704_16452191,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452191
20190704_16470598,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16470598
20190707_16189631,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16189631
20190707_16391237,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16391237
20190701_16447302,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447302
20190701_16447304,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447304
20190701_16447306,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447306
20190701_16447389,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447389
20190701_16447390,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447390
20190701_16447413,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447413
20190701_16447429,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447429
20190701_16447456,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447456
20190701_16447531,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447531
20190701_16447577,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447577
20190701_16447622,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447622
20190701_16447669,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447669
20190701_16447699,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447699
20190701_16447748,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447748
20190701_16447833,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447833
20190701_16447854,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447854
20190701_16447975,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447975
20190701_16448023,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16448023
20190701_16448131,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16448131
20190630_16431732,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16431732
20190630_16431885,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16431885
20190630_16431948,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16431948
20190630_16432051,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432051
20190630_16432488,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432488
20190630_16432572,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432572
20190630_16432614,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432614
20190630_16432689,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432689
20190630_16432701,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432701
20190630_16432711,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432711
20190630_16432733,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432733
20190630_16432754,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432754
20190630_16432762,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432762
20190630_16432768,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16432768
20190630_16433006,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16433006
20190630_16433053,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16433053
20190630_16433206,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16433206
20190630_16433688,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16433688
20190630_16447253,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16447253
20190707_16439108,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16439108
20190707_16443936,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16443936
20190707_16443999,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16443999
20190707_16446508,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16446508
20190707_16449511,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449511
20190707_16449520,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449520
20190707_16449525,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449525
20190707_16449653,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449653
20190707_16449690,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449690
20190707_16449735,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449735
20190707_16449777,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449777
20190707_16449782,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449782
20190707_16449786,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449786
20190707_16449814,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449814
20190707_16449847,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449847
20190707_16449861,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449861
20190707_16449877,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16449877
20190707_16450017,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450017
20190707_16450041,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16450041
20190702_16470424,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16470424
20190702_16470449,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16470449
20190704_15742851,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15742851
20190704_16309005,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16309005
20190704_16309419,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16309419
20190704_16314859,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16314859
20190704_16315507,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315507
20190704_16340182,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16340182
20190704_16405642,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16405642
20190707_16451126,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451126
20190707_16451133,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451133
20190707_16451241,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451241
20190707_16451394,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451394
20190707_16451480,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451480
20190707_16451644,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451644
20190707_16451724,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451724
20190707_16451774,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16451774
20190707_16466545,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16466545
20190630_16461368,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461368
20190630_16464709,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16464709
20190630_16468514,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16468514
20190630_16469342,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16469342
20190702_15329375,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15329375
20190702_15572776,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15572776
20190702_16081769,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16081769
20190702_16153798,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16153798
20190702_16256262,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16256262
20190702_16302134,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16302134
20190702_16302527,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16302527
20190702_16304278,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16304278
20190702_16307447,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16307447
20190702_16307954,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16307954
20190702_16308029,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16308029
20190702_16308949,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16308949
20190702_16310249,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16310249
20190702_16314895,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16314895
20190709_16452656,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452656
20190709_16452705,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452705
20190709_16452718,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452718
20190709_16452786,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452786
20190709_16452878,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452878
